tag, count
,542
--Split--,40
3dprinting,62
aaa,4
alergies,6
alergies:health,1
alergies:medical,2
andy:ent:medical,1
appliances,3
atm charge,11
auto,20
auto:insurance,4
auto:insurance:Rent,2
auto:oil change,1
auto:tires,1
book,2
books,1
car,79
car:gas,3
car:insurance,1
cash,42
cellphone,1
charity,2
checks,1
clothes,19
clothes:Raghda,1
clothing:Raghda,1
coffee,298
computer,95
computer:work:new job,1
crib:theo,1
Dining,39
Dining:Food,302
education,36
education:book,2
education:Raghda,7
electric,24
electric:utilities,2
entertainment,103
exercise,4
eye,6
Family Photos,2
fan:theo,1
firebox,2
Food,15
Food:Dining,2
Food:groceries,415
furniture,16
furniture:household,1
garbage,2
gas,152
gift,5
gps,1
groceries,96
groceries:Food,78
hair,19
hair:Raghda,1
health,7
hosting,13
household,32
icwxp,1
immagration,12
insurance,12
insurance:Rent,3
internet,32
intrest exp,2
intrest inc,11
job-search,2
Kitchen,4
laptop:warrenty,3
lodging,5
lodging:pittsburgh,1
lodging:Raghda,1
magazine,31
magazine:subscriptions,1
magdolin,3
magdoulin,2
magdoulin:medical,1
medical,15
medical:ragha,1
medical:tmj,2
membership,1
misc,158
misc:ragha,1
msic,1
mst3k,1
mymst3k,2
office,7
oil change,2
osb,1
owesme:work,2
pregnacy,1
pregnacy:Raghda,9
printer,1
purse,1
radon,1
ragha,21
Raghda,24
Raghda:skype,35
Raghda:travel,9
Raghda:ups,4
Rent,30
rifftrax,3
rug,1
salary,91
savings transfer,4
shipping,1
shoes,1
skype,33
subscriptions,15
Tag,1
tax,4
Tax Related,2
tax-refund,1
teeth,1
teeth:tmj,6
theo,24
ticket,3
tires,1
tmj,27
tmj:teeth,1
tools,8
transfer,16
trashcan,2
travel,9
travel:pittsburgh,1
utilities,46
utilities:gas,1
utilities:water,5
Vacation,13
Vacation:travel,1
visa,64
vsia,2
wedding,3
windsheildwipers,1
work,2
